organization_id,phone,name,email,address,city,country
57,+49 69 1730 902 11,,support@de-cix.net,,,
57,+49 69 1730 902 0,,billing@de-cix.net,,,
62,+2348093878110,,noc@ixp.net.ng,,,
62,noc@ixp.net.ng,,noc@ixp.net.ng,,,
62,+234 809 3878 110,,noc@ixp.net.ng,,,
62,+2348093878110,,ixpmanager@ixp.net.ng,,,
62,noc@ixp.net.ng,,ixpmanager@ixp.net.ng,,,
67,+39 02 4091 5701,,noc@mix-it.net,,,
67,+39 02 4091 5701,,finance@mix-it.net,,,
67,,,noc@mix-it.net,,,
67,+39 02 4091 5701,,sg@mix-it.net,,,
69,,,l2-support@franceix.net,,,
69,,,noc@rezopole.net,,,
66,+61 7 3062 7601,,support@megaport.com,,,
84,+1 206-367-4320,,info@seattleix.net,,,
84,+1 206-367-4320,,noc@seattleix.net,,,
81993,+31851308330,,noc@inter-ix.net,,,
81993,+31 85 130 8330,,noc@inter-ix.net,,,
81993,noc@inter-ix.net,,noc@inter-ix.net,,,
73,+27 01 050 1200,,ops@inx.net.za,,,
73,ops@inx.net.za,,ops@inx.net.za,,,
73,+27 01 050 1200,,no-reply@inx.net.za,,,
73,27 01 050 1200,,no-reply@inx.net.za,,,
73,+27 01 050 1200,,help@inx.net.za,,,
73,27 01 050 1200,,help@inx.net.za,,,
73,+27 01 050 1200,,noc@inx.net.za,,,
73,27 01 050 1200,,noc@inx.net.za,,,
73,+27 11 568 1160,,noc@inx.net.za,,,
73,27 11 568 1160,,noc@inx.net.za,,,
76,+27 11 573 2800,,ix@napafrica.net,,,
76,5555,,ix@napafrica.net,,,
82000,+2348179918846,,obinna.adumike@af-cix.net,,,
82001,,,1@1-ix.net,,,
81996,,,salvador@peruix.net,,,
82003,,,1@1-ix.net,,,
82004,,,noc@mario.gdn,,,
82005,+4940228170219,,support@de-cix.net,,,
82007,,,noc@franceix.net,,,
87,,,noc@cnx.net.kh,,,
87,+855 61 618 084,,,,,
88,+1 212 796 6914,,support@de-cix.net,,,
91,,,noc@ams-ix.net,,,
92,,,noc@ams-ix.net,,,
97,+61 7 3062 7601,,support@megaport.com,,,
96,+33 1 70 61 97 74,,l2-support@franceix.net,,,
96,+33 1 70 61 97 72,,billing@franceix.net,,,
96,,,noc@franceix.net,,,
98,+61 7 3062 7601,,support@megaport.com,,,
426,+591 70634634,,noreply@pitbolivia.org.bo,,,
99,+61 7 3062 7601,,support@megaport.com,,,
82022,,,noc@fox.net.tw,,,
106,+254 732 614 497,,support@tespok.co.ke,,,
82023,+590690668899,,peering@smart-ix.fr,,,
105,+420 246 083 470,,nmc@nix.cz,,,
105,+420 246 083 460,,billing@nix.cz,,,
105,+420 602 149 744,,noc@nix.cz,,,
105,+420 246 083 470,,net@nix.cz,,,
71788,+49 69 1730 902 11,,support@de-cix.net,,,
73839,+2348093878110,,noc@ixp.net.ng,,,
73839,noc@ixp.net.ng,,noc@ixp.net.ng,,,
73839,+2348093878110,,ixpmanager@ixp.net.ng,,,
73839,noc@ixp.net.ng,,ixpmanager@ixp.net.ng,,,
73840,+2348093878110,,noc@ixp.net.ng,,,
73840,noc@ixp.net.ng,,noc@ixp.net.ng,,,
73840,+2348093878110,,ixpmanager@ixp.net.ng,,,
73840,noc@ixp.net.ng,,ixpmanager@ixp.net.ng,,,
115,+61 7 3062 7601,,support@megaport.com,,,
114,+49 69 1730 902 11,,support@de-cix.net,,,
114,+49 69 1730 902 0,,billing@de-cix.net,,,
113,+49 69 1730 902 11,,support@de-cix.net,,,
73841,+2348093878110,,noc@ixp.net.ng,,,
73841,noc@ixp.net.ng,,noc@ixp.net.ng,,,
73841,+2348093878110,,ixpmanager@ixp.net.ng,,,
73841,noc@ixp.net.ng,,ixpmanager@ixp.net.ng,,,
94326,+61 7 3062 7601,,support@megaport.com,,,
117,+1 212 796 6914,,support@de-cix.net,,,
94327,+61 7 3062 7601,,support@megaport.com,,,
94328,+61 7 3062 7601,,support@megaport.com,,,
122,+662 107 1538,,support@bknix.co.th,,,
122,+662 107 1538,,acc@bknix.co.th,,,
118,,,support@qix.ca,,,
118,,,billing@qix.ca,,,
125,+7(495)737-4232,,,,,
125,+7(495)737-4232,,support@ix.ru,,,
128,+917045951002,,techsupport@de-cix.in,,,
128,+919868477444,,operations@de-cix.in,,,
128,+917045951002,,techsupport@mumbai-ix.net,,,
128,techsupport@mumbai-ix.net,,techsupport@mumbai-ix.net,,,
128,techsupport@de-cix.in,,techsupport@de-cix.in,,,
126,+7(495)737-4232,,,,,
126,+7(495)737-4232,,support@ix.ru,,,
130,+33 7 61 02 91 86,,noc@auvernix.org,,,
130,+33 7 61 02 91 86,,contact@auvernix.org,,,
123,+46 709 968815,,portal@sthix.net,,,
134,,,cixp-support@cern.ch,,Geneva,CH
82252,,,noc@namex.it,,,
80013,,,noc@ixplay.es,,,
143,,,support@lu-cix.lu,,,
82068,+623618947693,,nocadmin@bali.apjii.or.id,,,
82068,+623618947693,,peering@bali.apjii.or.id,,,
80012,,,peering@moebee.net,,,
82069,,,admin@jabar.apjii.or.id,,,
82071,,,noc@lampung.apjii.or.id,,,
82072,+6282221222082,,wiwid@jateng.apjii.or.id,,,
82073,,,admin@ji.iix.net.id,,,
96410,+622128681231,,support@area31.id,,,
96410,support@area31.id,,support@area31.id,,,
82070,,,bph@sumut.apjii.or.id,,,
82074,,,noc@banten.apjii.or.id,,,
151,+49 6172 185025,,info@kleyrex.net,,,
151,info@kleyrex.net,,info@kleyrex.net,,,
161,+256790884905,Kyle Spencer,kyle@stormzero.com,,,
161,+256780246746,Diarmuid O'Briain,diarmuid@obriain.com,,,
161,+256790884905,,uixp-admins@googlegroups.com,,,
161,+256790884905,,support@googlegroups.com,,,
161,+256790884905,,support@uixp.co.ug,,,
161,+256783800146,,support@uixp.co.ug,,,
161,+256786350675,,support@uixp.co.ug,,,
82077,,,noc@mvixp.org,,,
166,,,noc@netnod.se,,,
166,,,billing@netnod.se,,,
166,+46856286000,,info@netnod.se,,,
166,+46856286000,,billing@netnod.se,,,
166,+4686414580,,noc@netnod.se,,,
69795,,Ivan Morales,imorales@ixp.gt,,,
69795,+502-42116750,,noc@ixp.gt,,,
69795,noc@ixp.gt,,noc@ixp.gt,,,
168,,,noc@netnod.se,,,
168,,,billing@netnod.se,,,
168,+46856286000,,info@netnod.se,,,
168,+46856286000,,billing@netnod.se,,,
168,+4686414580,,noc@netnod.se,,,
71858,,,preston@paducahix.net,,,
71858,+18553473476,,,,,
69817,+302312204204,,noc@thess-ix.net,,,
69817,+302312204204,,peering@thess-ix.net,,,
69817,+30 2312 204204,,noc@thess-ix.net,,,
69817,noc@thess-ix.net,,noc@thess-ix.net,,,
84153,+1 438 969 2205,,noc@plactrix.net,,,
84153,noc@plactrix.net,,noc@plactrix.net,,,
71882,+1 602 688-6414,,ixp@portal.ninja-ix.net,,,
71882,peering@ninja-ix.net,,ixp@portal.ninja-ix.net,,,
71882,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71882,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71882,+1 602 688 6414,,peering@ninja-ix.net,,,
71882,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71882,+1 602 688 6414,,ixp@ninja-ix.net,,,
71882,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
71883,+1 602 688-6414,,ixp@portal.ninja-ix.net,,,
71883,peering@ninja-ix.net,,ixp@portal.ninja-ix.net,,,
71883,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71883,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71883,+1 602 688 6414,,peering@ninja-ix.net,,,
71883,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71883,+1 602 688 6414,,ixp@ninja-ix.net,,,
71883,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
71884,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71884,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71884,+1 602 688 6414,,peering@ninja-ix.net,,,
71884,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71884,+1 602 688 6414,,ixp@ninja-ix.net,,,
71884,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
71885,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71885,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71885,+1 602 688 6414,,peering@ninja-ix.net,,,
71885,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71885,+1 602 688 6414,,ixp@ninja-ix.net,,,
71885,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
208,,,noc@netnod.se,,,
208,,,billing@netnod.se,,,
208,+46856286000,,info@netnod.se,,,
208,+46856286000,,billing@netnod.se,,,
208,+4686414580,,noc@netnod.se,,,
71888,+1 602 688-6414,,ixp@portal.ninja-ix.net,,,
71888,peering@ninja-ix.net,,ixp@portal.ninja-ix.net,,,
71888,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71888,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71888,+1 602 688 6414,,peering@ninja-ix.net,,,
71888,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71888,+1 602 688 6414,,ixp@ninja-ix.net,,,
71888,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
71887,+1 602 688-6414,,ixp@portal.ninja-ix.net,,,
71887,peering@ninja-ix.net,,ixp@portal.ninja-ix.net,,,
71887,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
71887,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
71887,+1 602 688 6414,,peering@ninja-ix.net,,,
71887,peering@ninja-ix.net,,peering@ninja-ix.net,,,
71887,+1 602 688 6414,,ixp@ninja-ix.net,,,
71887,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
217,+593 2 225 2495 option 1,,soporte@nap.ec,,,
217,,,soporte@nap.ec,,,
217,+593 2 2252495,,soporte@nap.ec,,,
217,+593 2 2252495,,,,,
217,+593 2 225 2495,,soporte@nap.ec,,,
73953,,,peering@fmix.net,,,
73953,,,info@fmix.net,,,
227,+39-03...,,noc@minap.it,,,
227,+39-02...,,noc@minap.it,,,
227,,Marco D'Itri,md@Linux.IT,,,
78049,,,noc@piter-ix.ru,,,
78052,+78126483888,,noc@piter-ix.ru,,,
78052,+79219708093,,kf@piter-ix.eu,,,
78051,,,noc@piter-ix.ru,,,
237,+7(495)737-4232,,,,,
237,+7(495)737-4232,,support@ix.ru,,,
86261,+917045951002,,techsupport@de-cix.in,,,
86261,techsupport@de-cix.in,,techsupport@de-cix.in,,,
264,+27 01 050 1200,,no-reply@inx.net.za,,,
264,27 01 050 1200,,no-reply@inx.net.za,,,
264,+27 01 050 1200,,noc@inx.net.za,,,
264,27 01 050 1200,,noc@inx.net.za,,,
264,+27 11 568 1160,,noc@inx.net.za,,,
264,27 11 568 1160,,noc@inx.net.za,,,
269,+593 2 225 2495 option 1,,soporte@nap.ec,,,
269,,,soporte@nap.ec,,,
269,+593 2 2252495,,soporte@nap.ec,,,
269,+593 2 2252495,,,,,
269,+593 2 225 2495,,soporte@nap.ec,,,
10508,,,noc@nnenix.net,,,
10508,ops@nnenix.net,,noc@nnenix.net,,,
277,,,tech-c@sfmix.org,,,
277,+1 415 634-6712,,tech-c@sfmix.org,,,
276,503.914.0700,,noc@nwax.net,,,
276,503.914.0700,,finance@nwax.net,,,
12568,,Vladislav Bidikov,vladislav.bidikov@finki.ukim.mk,,,
80163,+911141236699,,support@x3me.net,,,
80163,+911141236699,,ix@x3me.net,,,
80165,+18694671426,,amicia.mussenden@gov.kn,,,
80164,+5978852222,,j.udit@tas.sr,,,
72107,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
72107,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
72107,+1 602 688 6414,,peering@ninja-ix.net,,,
72107,peering@ninja-ix.net,,peering@ninja-ix.net,,,
72107,+1 602 688 6414,,ixp@ninja-ix.net,,,
72107,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
51501,6122040000,,noc@qcix.net,,,
51501,noc@qcix.net,,noc@qcix.net,,,
74032,+41 22 510 54 00,,noc@free-ix.net,,,
74032,noc@free-ix.net,,noc@free-ix.net,,,
82238,,,peering@edgeix.net,,,
82238,+61899999999,,noc@edgeix.net,,,
82238,noc@edgeix.net,,noc@edgeix.net,,,
316,+1 602 688-6414,,ixp@portal.ninja-ix.net,,,
316,peering@ninja-ix.net,,ixp@portal.ninja-ix.net,,,
316,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
316,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
316,+1 602 688 6414,,peering@ninja-ix.net,,,
316,peering@ninja-ix.net,,peering@ninja-ix.net,,,
316,+1 602 688 6414,,ixp@ninja-ix.net,,,
316,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
323,+7(495)737-4232,,,,,
323,+7(495)737-4232,,support@ix.ru,,,
82248,,,support@de-cix.net,,,
82249,+4969173090211,,support@de-cix.net,,,
82251,+4969173090211,,support@de-cix.net,,,
82247,+4969173090211,,support@de-cix.net,,,
82250,+4969173090211,,support@de-cix.net,,,
82256,+6281266835959,,peering@centro.net.id,,,
82256,+6281266835959,,policy@centro.net.id,,,
82256,+62 821 7417 1995,,sales@centro.net.id,,,
82254,,,peering@cvixp.cv,,,
338,,,noc@netnod.se,,,
338,,,billing@netnod.se,,,
338,+46856286000,,info@netnod.se,,,
338,+46856286000,,billing@netnod.se,,,
338,+4686414580,,noc@netnod.se,,,
16739,+1 484 393 2326,,noc@e-ix.network,,,
16739,noc@e-ix.network,,noc@e-ix.network,,,
86373,+1 111 555 5555,,ixpmanager@ixpmanager.rpd.ne.jp,,,
86373,+1 000000000000,,noc@rpd.ne.jp,,,
86373,+1 000000000000,,ixpmanager@ixpmanager.rpd.ne.jp,,,
86373,+1 000000000000,,noc@inixp.io,,,
86373,email only,,noc-as@ops.inixp.io,,,
359,"Australia:1300 653 132, international: +61 89200 6141",,support@ix.asn.au,,,
359,"Australia:1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
359,"Australia:1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
359,"Australia: 1300 653 132, International: +61 89200 6141",,support@ix.asn.au,,,
359,"Australia: 1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
359,"Australia: 1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
377,,,support@linx.net,,,
74,+65 6991 2136,,support@sgix.sg,,,
86371,+46 768 68 49 73,,noc@sonix.network,,,
86371,noc@sonix.network,,noc@sonix.network,,,
10622,+355-684120049,,noc@anix.al,,,
10622,,,billing@anix.al,,,
10622,+355-684120049,,support@anix.al,,,
10622,+39 0644486380,,noc@anix.al,,,
10622,noc@anix.al,,noc@anix.al,,,
10622,+555 1 555 1234,,noc@anix.al,,,
77,,,support@torix.ca,,,
77,,,billing@torix.ca,,,
12679,+78126772525,,support@piter-ix.ru,,,
12679,+78126772525,,noc@piter-ix.ru,,,
70034,+529992927413,,noc@ixsy.org.mx,,,
395,+971 44524666,,support@uae-ix.net,,,
70037,+1 (809) 796-4171,,monitoreo@ixp.org.do,,,
70037,+1 (829) 341-9794,,monitoreo@ixp.org.do,,,
76178,+380982553322,,noc@rudaki.net,,,
413,"Australia:1300 653 132, international: +61 89200 6141",,support@ix.asn.au,,,
413,"Australia:1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
413,"Australia:1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
413,"Australia: 1300 653 132, International: +61 89200 6141",,support@ix.asn.au,,,
413,"Australia: 1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
413,"Australia: 1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
76183,,,noc@fremix.exchange,,,
76183,,,peering@fremix.exchange,,,
405,+7(495)737-4232,,,,,
405,+7(495)737-4232,,support@ix.ru,,,
70046,+662 107 1538,,support@bknix.co.th,,,
70046,+662 107 1538,,acc@bknix.co.th,,,
412,"Australia:1300 653 132, international: +61 89200 6141",,support@ix.asn.au,,,
412,"Australia:1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
412,"Australia:1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
412,"Australia: 1300 653 132, International: +61 89200 6141",,support@ix.asn.au,,,
412,"Australia: 1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
412,"Australia: 1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
415,"Australia:1300 653 132, international: +61 89200 6141",,support@ix.asn.au,,,
415,"Australia:1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
415,"Australia:1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
415,"Australia: 1300 653 132, International: +61 89200 6141",,support@ix.asn.au,,,
415,"Australia: 1300 653 132, International: +61 89200 6141",,accounts@ix.asn.au,,,
415,"Australia: 1300 793 320, International: +61 89200 4980",,noc@ix.asn.au,,,
16801,+46770-33 90 00 ,,support@interlan.se,,,
16801,support@interlan.se,,support@interlan.se,,,
55715,+44 7535 777 785,,noc@bfdix.com,,,
55715,noc@bfdix.com,,noc@bfdix.com,,,
55715,+44 7535 777 785,,noc@bfd-ix.net,,,
55715,noc@bfd-ix.net,,noc@bfd-ix.net,,,
16802,+507 6566-5934,,soporte@intered.org.pa,,,
16802,soporte@intered.org.pa,,soporte@intered.org.pa,,,
78247,+13176442224,,peering@fd-ix.com,,,
78247,,,sales@fd-ix.com,,,
78250,,,op@fogixp.org,,,
94639,+584146278300,,noc@nap.com.ve,,,
94639,+584146278300,,admon@nap.com.ve,,,
423,,,support@linx.net,,,
72106,+1 602 688-6414,,ixp@ops.ninja-ix.net,,,
72106,peering@ninja-ix.net,,ixp@ops.ninja-ix.net,,,
72106,+1 602 688 6414,,peering@ninja-ix.net,,,
72106,peering@ninja-ix.net,,peering@ninja-ix.net,,,
72106,+1 602 688 6414,,ixp@ninja-ix.net,,,
72106,peering@ninja-ix.net,,ixp@ninja-ix.net,,,
437,,,support@linx.net,,,
440,+33 1 70 61 97 74,,l2-support@franceix.net,,,
440,+33 1 70 61 97 72,,billing@franceix.net,,,
440,,,noc@franceix.net,,,
436,+555 1 555 1234,,peering@suprnet.net,,,
436,peering@suprnet.net,,peering@suprnet.net,,,
442,,,noc@epix.net.pl,,,
454,+49 231 2064 5898,,noc@do-ix.net,,,
454,noc@do-ix.net,,noc@do-ix.net,,,
90,,,noc@uln-ix.ru,,,
458,+49 69 1730 902 11,,support@de-cix.net,,,
464,,,noc@centraloregonix.org,,,
464,noc@centraloregonix.org,,noc@centraloregonix.org,,,
468,+43 664 2118451,,noc@rheintal-ix.net,,,
468,noc@rheintal-ix.net,,noc@rheintal-ix.net,,,
16782,+1 613 555 1234,,noc@ogix.ca,,,
16782,noc@ogix.ca,,noc@ogix.ca,,,
473,+555 1 555 1234,,support@ixp.ht,,,
473,support@ixp.ht,,support@ixp.ht,,,
473,+555 1 555 1234,,no-reply@ixp.ht,,,
473,noc@ixp.ht,,no-reply@ixp.ht,,,
472,+27 01 050 1200,,ops@inx.net.za,,,
472,ops@inx.net.za,,ops@inx.net.za,,,
472,+27 01 050 1200,,no-reply@inx.net.za,,,
472,27 01 050 1200,,no-reply@inx.net.za,,,
472,+27 01 050 1200,,help@inx.net.za,,,
472,27 01 050 1200,,help@inx.net.za,,,
472,+27 01 050 1200,,noc@inx.net.za,,,
472,27 01 050 1200,,noc@inx.net.za,,,
472,+27 11 568 1160,,noc@inx.net.za,,,
472,27 11 568 1160,,noc@inx.net.za,,,
670,+31 884 450 200,,noc@lsix.net,,,
670,noc@lsix.net,,noc@lsix.net,,,
500,+31 20 225 52 50,,info@gblnet.net,,,
500,+555 1 555 1234,,ixp-manager@dataix.ru,,,
500,noc@dataix.ru,,ixp-manager@dataix.ru,,,
500,+31 20 225 54 35,,noc@dataix.eu,,,
500,noc@dataix.eu,,noc@dataix.eu,,,
14833,+7 7222604444,,noc@nic.kz,,,
14833,+7 7222600006,,ixp-request@nic.kz,,,
14843,,,peering@securebit.cloud,,,
510,,,noc@us.ams-ix.net,,,
511,,,noc@us.ams-ix.net,,,
78340,,,helpdesk@glv-ix.lv,,,
78340,,,info@glv-ix.lv,,,
522,+506 4020-5000,,soporteix@crix.cr,,,
522,info@crix.cr,,soporteix@crix.cr,,,
522,contabilidad@crix.cr,,soporteix@crix.cr,,,
522,+506 22806453,,noreply2@nic.cr,,,
522,soporte@crix.cr,,noreply2@nic.cr,,,
525,,,support@linx.net,,,
537,+22676451414,,noc@bfix.bf,,,
537,noc@bfix.bf,,noc@bfix.bf,,,
16915,+46 709 968815,,portal@sthix.net,,,
531,,,noc@epix.net.pl,,,
18970,+61899999999,,noc@edgeix.net,,,
18970,noc@edgeix.net,,noc@edgeix.net,,,
542,+61 7 3062 7601,,support@megaport.com,,,
546,+61 7 3062 7601,,support@megaport.com,,,
548,+61 7 3062 7601,,support@megaport.com,,,
550,+61 7 3062 7601,,support@megaport.com,,,
551,+61 7 3062 7601,,support@megaport.com,,,
558,+64 9888 9221,,support@ix.nz,,,
558,+64 9888 9221,,accounts@ix.nz,,,
558,+64 9888 9221,,noc@ix.nz,,,
110,+49 69 1730 902 11,,support@de-cix.net,,,
111,+49 69 1730 902 11,,support@de-cix.net,,,
19004,+61899999999,,noc@edgeix.net,,,
19004,noc@edgeix.net,,noc@edgeix.net,,,
19005,+61899999999,,noc@edgeix.net,,,
19005,noc@edgeix.net,,noc@edgeix.net,,,
78398,,,gnoc@icxglobal.net,,,
78398,,,peering@icxglobal.net,,,
78398,,,sales@icxglobal.net,,,
78400,+913366573248,,noc@kol.ams-ix.net,,,
78400,+31203058999,,info@ams-ix.net,,,
19006,+61899999999,,noc@edgeix.net,,,
19006,noc@edgeix.net,,noc@edgeix.net,,,
78399,,,gnoc@icxglobal.net,,,
78399,,,peering@icxglobal.net,,,
78399,,,sales@icxglobal.net,,,
579,+61 7 3062 7601,,support@megaport.com,,,
577,+61 7 3062 7601,,support@megaport.com,,,
581,+61 7 3062 7601,,support@megaport.com,,,
582,+61 7 3062 7601,,support@megaport.com,,,
578,+61 7 3062 7601,,support@megaport.com,,,
76366,,,guchenhui@nnix.cn,,,
27209,+46 709 968815,,portal@sthix.net,,,
86,+48 22 51 56 800,,servicedesk@atman.pl,,,
587,,,noc@ams-ix.in,,,
584,+61 7 3062 7601,,support@megaport.com,,,
614,+353 1 531 3339,,operations@inex.ie,,,
614,+353 1 4332052,,accounts@inex.ie,,,
618,+555 1 555 1234,,peering@ix-denver.org,,,
618,peering@ix-denver.org,,peering@ix-denver.org,,,
90745,,,noc@mix-it.net,,,
92821,+302141001000,,noc@free-ix.gr,,,
86685,+61 7 3062 7601,,support@megaport.com,,,
674,+1 111 555 5555,,support@x3me.net,,,
674,+91 1141236699,,support@x3me.net,,,
72356,+49 69 1730902 11,,support@de-cix.net,,,
90791,+49 351 41898230,,noc@dd-ix.net,,,
679,+917045951002,,techsupport@de-cix.in,,,
679,+919868477444,,operations@de-cix.in,,,
679,+917045951002,,techsupport@mumbai-ix.net,,,
679,techsupport@mumbai-ix.net,,techsupport@mumbai-ix.net,,,
679,techsupport@de-cix.in,,techsupport@de-cix.in,,,
680,+917045951002,,techsupport@de-cix.in,,,
680,+919868477444,,operations@de-cix.in,,,
680,+917045951002,,techsupport@mumbai-ix.net,,,
680,techsupport@mumbai-ix.net,,techsupport@mumbai-ix.net,,,
680,techsupport@de-cix.in,,techsupport@de-cix.in,,,
683,+1 111 555 5555,,support@x3me.net,,,
683,+91 1141236699,,support@x3me.net,,,
717,+263 4 333 032,,noc@hix.org.zw,,,
717,noc@hix.org.zw,,noc@hix.org.zw,,,
716,+1 412 945 7045,,noc@pit-ix.net,,,
716,+1-412-945-7045,,info@pit-ix.net,,,
716,+1 412 945 7045,,ixp@pit-ix.net,,,
718,+61 7 3062 7601,,support@megaport.com,,,
721,+1 956 340 4245,,mca.mexix.manager@mdcdatacenters.com,,,
721,customersupport@mdcdatacenters.com,,mca.mexix.manager@mdcdatacenters.com,,,
37580,,,peering@whitehat.ro,,,
37580,+4901791271141,,peering@whitehat.ro,,,
37580,peering@whitehat.ro,,peering@whitehat.ro,,,
37580,+447453443240,,peering@rocix.net,,,
