"ProviderID","OrganizationID"
"28","37"
"496","481"
"684","675"
"7","134"
"1368","90821"
"1366","90819"
"1367","90820"
"457","450"
"604","576"
"432","87"
"696","686"
"477","464"
"747","10646"
"1229","84936"
"257","307"
"52","55"
"186","78"
"541","522"
"882","69459"
"1177","82254"
"1188","83287"
"1187","83286"
"73","149"
"640","607"
"643","610"
"353","380"
"639","606"
"642","609"
"641","608"
"644","611"
"1331","90783"
"1330","90782"
"1332","90784"
"922","71883"
"1060","81138"
"1056","81134"
"1057","81135"
"1058","81136"
"522","500"
"1284","90736"
"567","544"
"1363","90816"
"1339","90791"
"860","68656"
"688","679"
"1246","86261"
"1173","82250"
"1181","83012"
"1174","82251"
"1238","85651"
"1261","89524"
"689","680"
"1172","82249"
"1155","82005"
"1401","94654"
"634","128"
"1171","82248"
"1170","82247"
"1030","78714"
"943","72537"
"1340","90793"
"662","636"
"580","117"
"1189","83288"
"1338","90790"
"56","142"
"229","281"
"230","282"
"231","283"
"253","304"
"1304","90756"
"29","89"
"441","445"
"1185","83117"
"549","533"
"978","76485"
"322","358"
"463","454"
"1371","90887"
"270","317"
"939","72355"
"198","253"
"910","71203"
"487","472"
"565","114"
"373","395"
"810","16739"
"485","471"
"835","18970"
"1232","84940"
"839","23737"
"837","19004"
"836","19005"
"841","23739"
"838","19006"
"1169","82238"
"840","23738"
"1236","85105"
"1051","81129"
"772","15623"
"683","674"
"773","15624"
"771","15622"
"694","683"
"169","125"
"1192","83291"
"1388","90919"
"1147","81994"
"548","531"
"436","442"
"1326","90778"
"779","16124"
"68","146"
"439","443"
"1264","90716"
"776","15979"
"236","288"
"235","287"
"780","16125"
"714","701"
"715","702"
"440","444"
"180","239"
"781","16126"
"1222","84514"
"782","16127"
"716","703"
"234","286"
"783","16128"
"717","704"
"568","545"
"886","69613"
"484","470"
"719","706"
"1267","90719"
"1230","84938"
"1266","90718"
"237","289"
"651","619"
"251","302"
"39","46"
"1263","90714"
"887","69614"
"233","285"
"215","268"
"343","373"
"1265","90717"
"181","240"
"718","705"
"179","238"
"182","241"
"344","374"
"785","16130"
"36","43"
"22","31"
"1034","78773"
"62","64"
"667","645"
"834","17770"
"302","344"
"756","11439"
"1042","80163"
"1260","89484"
"1365","90818"
"1012","78247"
"1011","78246"
"171","94"
"23","33"
"172","109"
"1273","90725"
"1271","90723"
"1272","90724"
"1039","79603"
"1259","88873"
"150","213"
"543","524"
"958","73953"
"1014","78250"
"1157","82022"
"9","16"
"31","69"
"1156","82007"
"434","440"
"41","96"
"274","322"
"1395","92821"
"976","76183"
"946","72720"
"861","68657"
"807","16319"
"1206","83689"
"1133","81436"
"491","476"
"632","602"
"755","11389"
"1334","90786"
"1335","90787"
"970","75550"
"165","228"
"1235","85104"
"1295","90747"
"1045","81123"
"1049","81127"
"1047","81125"
"1046","81124"
"1048","81126"
"10","17"
"1282","90734"
"1281","90733"
"1357","90810"
"92","108"
"103","169"
"1369","90847"
"474","461"
"581","553"
"1378","90909"
"1016","78340"
"967","74838"
"1342","90795"
"1202","83303"
"752","11338"
"753","11339"
"348","376"
"539","518"
"1141","81698"
"476","463"
"888","69795"
"472","459"
"530","508"
"47","51"
"912","71375"
"1348","90801"
"730","717"
"659","630"
"184","243"
"201","256"
"110","173"
"885","69612"
"923","71884"
"1027","78512"
"1023","78508"
"1028","78513"
"1022","78507"
"1026","78511"
"1024","78509"
"1025","78510"
"136","197"
"960","74157"
"331","367"
"993","77698"
"994","77699"
"996","77701"
"995","77700"
"1019","78399"
"997","77702"
"998","77703"
"1018","78398"
"992","77697"
"727","713"
"112","175"
"1029","78514"
"111","174"
"1164","82073"
"1159","82068"
"1165","82074"
"1160","82069"
"1325","90777"
"1163","82072"
"1321","90773"
"1162","82071"
"1322","90774"
"1320","90772"
"1323","90775"
"1324","90776"
"1161","82070"
"646","614"
"20","28"
"645","613"
"959","74032"
"1248","86373"
"872","69020"
"873","69021"
"874","69022"
"875","69023"
"871","69019"
"876","69024"
"863","68918"
"814","16802"
"1146","81993"
"37","44"
"1249","86387"
"1243","85983"
"1353","90806"
"560","113"
"933","72131"
"1393","91863"
"1182","83031"
"617","120"
"1309","90761"
"578","133"
"1311","90763"
"1310","90762"
"865","68929"
"1200","83301"
"1397","94326"
"572","548"
"608","579"
"1252","86685"
"30","66"
"606","577"
"1394","91864"
"1398","94327"
"1250","86683"
"610","581"
"650","618"
"340","97"
"431","99"
"341","98"
"647","615"
"611","582"
"563","542"
"1253","86686"
"77","115"
"194","249"
"1251","86684"
"607","578"
"613","584"
"574","550"
"1399","94328"
"731","718"
"570","546"
"575","551"
"631","600"
"378","400"
"154","218"
"989","77661"
"155","219"
"283","329"
"262","312"
"869","68993"
"868","68992"
"376","398"
"500","485"
"156","220"
"157","221"
"263","313"
"616","585"
"284","330"
"787","16138"
"497","482"
"214","267"
"788","16139"
"375","397"
"498","483"
"379","401"
"990","77662"
"158","222"
"264","314"
"1228","84618"
"159","223"
"160","224"
"789","16140"
"374","396"
"289","334"
"790","16141"
"791","16142"
"792","16143"
"377","399"
"762","13365"
"540","520"
"878","69189"
"1347","90800"
"881","69375"
"891","70037"
"281","328"
"106","171"
"1387","90918"
"833","17603"
"1383","90914"
"816","16837"
"817","16838"
"1380","90911"
"1384","90915"
"1382","90913"
"1381","90912"
"1385","90916"
"428","438"
"1404","96364"
"1139","81696"
"1354","90807"
"760","12568"
"975","76182"
"1041","80013"
"914","71442"
"953","73840"
"952","73839"
"954","73841"
"60","62"
"830","17504"
"1059","81137"
"965","74652"
"890","70034"
"1134","81437"
"883","69610"
"809","16653"
"764","13618"
"945","72718"
"1274","90726"
"1276","90728"
"1278","90730"
"1277","90729"
"95","73"
"983","77410"
"119","182"
"44","138"
"1010","78163"
"120","183"
"1013","78248"
"42","71"
"1283","90735"
"962","74164"
"417","428"
"96","161"
"188","245"
"768","14833"
"221","275"
"951","73747"
"1358","90811"
"698","689"
"204","259"
"72","148"
"670","651"
"49","106"
"800","16263"
"956","73843"
"78","151"
"402","417"
"381","402"
"911","71335"
"1360","90813"
"1061","81140"
"937","72297"
"275","323"
"1233","84946"
"968","75054"
"927","71888"
"433","439"
"1","7"
"600","572"
"349","377"
"1231","81935"
"426","437"
"409","423"
"544","525"
"1391","91102"
"467","456"
"765","13792"
"1256","88118"
"482","467"
"83","154"
"763","13384"
"775","15838"
"842","24916"
"774","15806"
"1269","90721"
"18","26"
"681","670"
"58","143"
"966","74836"
"1209","83826"
"470","458"
"1138","81441"
"267","315"
"299","341"
"1361","90814"
"918","71854"
"856","58555"
"1154","82004"
"665","642"
"938","72298"
"399","416"
"740","721"
"473","460"
"278","326"
"1254","86687"
"1021","78505"
"1198","83299"
"685","676"
"671","652"
"1343","90796"
"660","632"
"1199","83300"
"335","369"
"777","16122"
"653","621"
"778","16123"
"164","227"
"1137","81440"
"316","350"
"207","263"
"84","155"
"1143","81700"
"999","77704"
"1207","83795"
"1293","90745"
"8","67"
"546","529"
"584","124"
"418","429"
"1333","90785"
"1195","83294"
"1040","80012"
"823","16931"
"338","371"
"559","111"
"13","21"
"54","57"
"929","72011"
"1168","82077"
"1148","81995"
"183","242"
"1370","90848"
"79","152"
"1255","86780"
"1033","78743"
"1175","82252"
"17","25"
"161","225"
"69","147"
"1400","94639"
"216","269"
"153","217"
"162","226"
"648","616"
"649","617"
"351","76"
"1053","81131"
"909","71162"
"336","370"
"664","640"
"977","76366"
"749","11163"
"901","70900"
"66","145"
"862","68800"
"1201","83302"
"413","85"
"1379","90910"
"294","338"
"1290","90742"
"1289","90741"
"100","166"
"986","77415"
"1292","90744"
"145","208"
"5","13"
"1287","90739"
"1288","90740"
"1286","90738"
"1291","90743"
"102","168"
"1136","81439"
"359","384"
"848","44574"
"15","23"
"1268","90720"
"552","105"
"19","27"
"99","165"
"173","232"
"174","233"
"116","179"
"175","234"
"117","180"
"115","178"
"45","49"
"1308","90760"
"724","711"
"27","36"
"769","15112"
"1217","84155"
"930","72106"
"97","162"
"982","10508"
"1219","84159"
"673","656"
"53","56"
"86","157"
"1377","90908"
"394","415"
"1218","84157"
"222","276"
"220","274"
"425","88"
"138","199"
"137","198"
"786","16137"
"1349","90802"
"217","270"
"452","448"
"1280","90732"
"1190","83289"
"811","16782"
"850","45705"
"256","306"
"419","430"
"490","475"
"1180","82741"
"1374","90890"
"902","70952"
"189","246"
"576","552"
"254","305"
"492","477"
"919","71858"
"1362","90815"
"726","132"
"410","425"
"1166","82075"
"1239","85721"
"942","72466"
"1149","81996"
"1150","81997"
"1221","84162"
"825","16933"
"1337","90789"
"1220","84161"
"1336","90788"
"944","72706"
"745","10561"
"268","316"
"232","284"
"1258","88857"
"324","360"
"325","361"
"326","362"
"327","363"
"328","364"
"329","365"
"293","337"
"1140","81697"
"1052","81130"
"1204","83687"
"985","77414"
"1205","83688"
"803","16266"
"941","426"
"804","16267"
"1224","84577"
"1193","83292"
"805","16268"
"680","668"
"806","16269"
"761","12679"
"1003","78046"
"1006","78049"
"1005","78048"
"1009","78052"
"1007","78050"
"1004","78047"
"1008","78051"
"729","716"
"151","214"
"259","309"
"347","375"
"260","310"
"261","311"
"636","604"
"558","110"
"1037","78912"
"1036","78911"
"1035","78910"
"129","191"
"1191","83290"
"1355","90808"
"979","76549"
"903","70955"
"847","41821"
"853","51501"
"266","118"
"392","413"
"146","209"
"924","71885"
"1000","78043"
"141","204"
"483","468"
"972","75684"
"925","71886"
"295","339"
"33","40"
"686","677"
"178","237"
"846","37580"
"866","68930"
"16","24"
"870","69017"
"1386","90917"
"479","466"
"973","76178"
"1227","84617"
"391","412"
"957","73951"
"926","71887"
"553","107"
"1167","82076"
"770","15602"
"961","74158"
"1132","81435"
"1241","85866"
"1179","82666"
"1055","81133"
"1345","90798"
"1050","81128"
"674","658"
"489","474"
"894","14843"
"895","15817"
"1176","82253"
"32","39"
"223","277"
"668","647"
"371","74"
"655","623"
"950","73153"
"1208","83825"
"167","112"
"25","35"
"1142","81699"
"89","103"
"679","666"
"148","84"
"200","255"
"723","710"
"388","409"
"822","16930"
"1044","80165"
"877","69107"
"1017","78397"
"503","486"
"1158","82023"
"320","356"
"228","280"
"88","158"
"271","318"
"91","159"
"1285","90737"
"754","11361"
"1001","78044"
"1247","86371"
"963","74474"
"133","193"
"292","336"
"87","126"
"898","70595"
"854","51502"
"1341","90794"
"758","11892"
"906","71120"
"713","700"
"712","699"
"144","123"
"820","16915"
"844","27209"
"884","69611"
"1225","84579"
"139","201"
"384","405"
"1194","83293"
"1043","80164"
"974","76180"
"34","42"
"813","16801"
"949","72992"
"666","644"
"635","603"
"1135","81438"
"1257","88856"
"424","436"
"859","68612"
"936","72173"
"934","72171"
"935","72172"
"1356","90809"
"1145","81702"
"889","69817"
"346","86"
"1184","83035"
"663","638"
"76","150"
"212","265"
"50","53"
"1318","90770"
"1319","90771"
"675","660"
"1317","90769"
"199","254"
"26","135"
"98","163"
"14","22"
"163","77"
"495","480"
"656","625"
"185","244"
"401","81"
"864","68919"
"330","366"
"193","248"
"46","50"
"536","101"
"799","16261"
"757","11780"
"931","72107"
"880","69373"
"767","14019"
"113","176"
"48","52"
"829","17461"
"187","90"
"598","571"
"1346","90799"
"849","44620"
"535","513"
"819","16884"
"393","414"
"3","10"
"897","70549"
"170","231"
"134","195"
"135","196"
"1327","90779"
"1240","85723"
"971","75552"
"38","45"
"494","479"
"678","664"
"108","83"
"1186","83284"
"85","156"
"132","192"
"1392","91692"
"386","407"
"1210","83827"
"1352","90805"
"1215","84153"
"493","478"
"669","649"
"219","272"
"858","61781"
"398","79"
"1237","85106"
"1351","90804"
"213","266"
