"organization_id","phone","name","email","address","city","country"
"79597","+5491152637456","","info@cabase.org.ar","","",""
"72356","+49 69 1730902 11","","support@de-cix.net","","",""
"69301","+4969173090211","","support@de-cix.net","","",""
"130","+33 7 61 02 91 86","","noc@auvernix.org","","",""
"130","+33 7 61 02 91 86","","contact@auvernix.org","","",""
"723","+370 5 274 5444","","helpdesk@balt.net","","",""
"122","+662 107 1538","","support@bknix.co.th","","",""
"122","+662 107 1538","","acc@bknix.co.th","","",""
"70046","+662 107 1538","","support@bknix.co.th","","",""
"70046","+662 107 1538","","acc@bknix.co.th","","",""
"81701","","","noc@banyumasix.id","","",""
"81701","","","peering@banyumasix.id","","",""
"36734","+62-811393073","","peering@batamix.net","","",""
"36734","+62 811 393 073","","peering@batamix.net","","",""
"36734","+62-811301131","","peering@batamix.net","","",""
"36734","+62 81130 1131","","noc@batamix.net","","",""
"36734","noc@batamix.net","","noc@batamix.net","","",""
"36734","+62 81130 1131","","peering@batamix.net","","",""
"36734","peering@batamix.net","","peering@batamix.net","","",""
"77692","+81368899257","","bbix-sales@bbix.net""","","",""
"29","+49 17 13 89 71 82","","noc@bcix.de","","",""
"29","+49 30 39 00 16 60","","noc@bcix.de","","",""
"29","+49 30 2332195 55","","noc@bcix.de","","",""
"29","+49 30 39 00 16 60","","billing@bcix.de","","",""
"71788","+49 69 1730 902 11","","support@de-cix.net","","",""
"55715","+44 7535 777 785","","noc@bfdix.com","","",""
"55715","noc@bfdix.com","","noc@bfdix.com","","",""
"55715","+44 7535 777 785","","noc@bfd-ix.net","","",""
"55715","noc@bfd-ix.net","","noc@bfd-ix.net","","",""
"71159","+22676451414","","noc@bfix.bf","","",""
"71159","noc@bfix.bf","","noc@bfix.bf","","",""
"537","+22676451414","","noc@bfix.bf","","",""
"537","noc@bfix.bf","","noc@bfix.bf","","",""
"47","+359 88 48 15669","","noc@bix.bg","","",""
"47","+359 89 5491693","","finance@bix.bg","","",""
"11","+32 2 790 33 01","","servicedesk@bnix.net","","",""
"71527","+4969173090211","","support@de-cix.net","","",""
"77412","","","reseaux@canl.net","","",""
"264","+27 01 050 1200","","no-reply@inx.net.za","","",""
"264","27 01 050 1200","","no-reply@inx.net.za","","",""
"264","+27 01 050 1200","","noc@inx.net.za","","",""
"264","27 01 050 1200","","noc@inx.net.za","","",""
"264","+27 11 568 1160","","noc@inx.net.za","","",""
"264","27 11 568 1160","","noc@inx.net.za","","",""
"18","+34 932 056 464","","catnix@suport.csuc.cat","","",""
"18","+34 932 056 464","","caterina.parals@csuc.cat","","",""
"82256","+6281266835959","","peering@centro.net.id","","",""
"82256","+6281266835959","","policy@centro.net.id","","",""
"82256","+62 821 7417 1995","","sales@centro.net.id","","",""
"71882","+1 602 688-6414","","ixp@portal.ninja-ix.net","","",""
"71882","peering@ninja-ix.net","","ixp@portal.ninja-ix.net","","",""
"71882","+1 602 688-6414","","ixp@ops.ninja-ix.net","","",""
"71882","peering@ninja-ix.net","","ixp@ops.ninja-ix.net","","",""
"71882","+1 602 688 6414","","peering@ninja-ix.net","","",""
"71882","peering@ninja-ix.net","","peering@ninja-ix.net","","",""
"71882","+1 602 688 6414","","ixp@ninja-ix.net","","",""
"71882","peering@ninja-ix.net","","ixp@ninja-ix.net","","",""
"50596","+64 9888 9221","","support@ix.nz","","",""
"50596","+64 9888 9221","","accounts@ix.nz","","",""
"50596","+64 9888 9221","","noc@ix.nz","","",""
"72835","55 5211 3060","","noreply@ixp.mx","","",""
"72835","noc@cudi.edu.mx","","noreply@ixp.mx","","",""
"37","+385 1 6165 520","","cix@srce.hr","","",""
"134","","","cixp-support@cern.ch","","Geneva","CH"
"87","","","noc@cnx.net.kh","","",""
"87","+855 61 618 084","","","","",""
"464","","","noc@centraloregonix.org","","",""
"464","noc@centraloregonix.org","","noc@centraloregonix.org","","",""
"522","+506 4020-5000","","soporteix@crix.cr","","",""
"522","info@crix.cr","","soporteix@crix.cr","","",""
"522","contabilidad@crix.cr","","soporteix@crix.cr","","",""
"522","+506 22806453","","noreply2@nic.cr","","",""
"522","soporte@crix.cr","","noreply2@nic.cr","","",""
"69459","","Andrew Gee","hello@cloudsingularity.exchange","","",""
"69459","+1 604-239-6268","","noc@cloudsingularity.exchange","","",""
"69459","noc@cloudsingularity.exchange","","noc@cloudsingularity.exchange","","",""
"69459","+1 604-239-6268","","hello@cloudsingularity.exchange","","",""
"69459","noc@cloudsingularity.exchange","","hello@cloudsingularity.exchange","","",""
"82254","","","peering@cvixp.cv","","",""
"71883","+1 602 688-6414","","ixp@portal.ninja-ix.net","","",""
"71883","peering@ninja-ix.net","","ixp@portal.ninja-ix.net","","",""
"71883","+1 602 688-6414","","ixp@ops.ninja-ix.net","","",""
"71883","peering@ninja-ix.net","","ixp@ops.ninja-ix.net","","",""
"71883","+1 602 688 6414","","peering@ninja-ix.net","","",""
"71883","peering@ninja-ix.net","","peering@ninja-ix.net","","",""
"71883","+1 602 688 6414","","ixp@ninja-ix.net","","",""
"71883","peering@ninja-ix.net","","ixp@ninja-ix.net","","",""
"81138","+17674400627","","info@danix.dm","","",""
"81134","+18002652461","","peering@dartpoints.com","","",""
"81134","+18002652461","","netops@dartpoints.com","","",""
"81134","+18882577462","","info@dartpoints.com","","",""
"81135","+18002652461","","peering@dartpoints.com","","",""
"81136","+18002652461","","peering@dartpoints.com","","",""
"500","+31 20 225 52 50","","info@gblnet.net","","",""
"500","+555 1 555 1234","","ixp-manager@dataix.ru","","",""
"500","noc@dataix.ru","","ixp-manager@dataix.ru","","",""
"500","+31 20 225 54 35","","noc@dataix.eu","","",""
"500","noc@dataix.eu","","noc@dataix.eu","","",""
"90791","+49 351 41898230","","noc@dd-ix.net","","",""
"68656","+917045951002","","techsupport@de-cix.in","","",""
"68656","+919868477444","","operations@de-cix.in","","",""
"68656","+917045951002","","techsupport@mumbai-ix.net","","",""
"68656","techsupport@mumbai-ix.net","","techsupport@mumbai-ix.net","","",""
"68656","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"679","+917045951002","","techsupport@de-cix.in","","",""
"679","+919868477444","","operations@de-cix.in","","",""
"679","+917045951002","","techsupport@mumbai-ix.net","","",""
"679","techsupport@mumbai-ix.net","","techsupport@mumbai-ix.net","","",""
"679","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"86261","+917045951002","","techsupport@de-cix.in","","",""
"86261","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"82250","+4969173090211","","support@de-cix.net","","",""
"82251","+4969173090211","","support@de-cix.net","","",""
"85651","+917045951002","","techsupport@de-cix.in","","",""
"85651","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"680","+917045951002","","techsupport@de-cix.in","","",""
"680","+919868477444","","operations@de-cix.in","","",""
"680","+917045951002","","techsupport@mumbai-ix.net","","",""
"680","techsupport@mumbai-ix.net","","techsupport@mumbai-ix.net","","",""
"680","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"82249","+4969173090211","","support@de-cix.net","","",""
"82005","+4940228170219","","support@de-cix.net","","",""
"128","+917045951002","","techsupport@de-cix.in","","",""
"128","+919868477444","","operations@de-cix.in","","",""
"128","+917045951002","","techsupport@mumbai-ix.net","","",""
"128","techsupport@mumbai-ix.net","","techsupport@mumbai-ix.net","","",""
"128","techsupport@de-cix.in","","techsupport@de-cix.in","","",""
"82248","","","support@de-cix.net","","",""
"82247","+4969173090211","","support@de-cix.net","","",""
"78714","+12127966914","","support@de-cix.net","","",""
"78714","+12127966914","","sales@de-cix.net","","",""
"72537","+1 303 848 3737","","noc@denverix.com","","",""
"72537","noc@denverix.com","","noc@denverix.com","","",""
"117","+1 212 796 6914","","support@de-cix.net","","",""
"83288","+6531058405","","noc@digitaledgedc.com","","",""
"454","+49 231 2064 5898","","noc@do-ix.net","","",""
"454","noc@do-ix.net","","noc@do-ix.net","","",""
"71203","+49 69 1730902 11","","support@ruhr-cix.net","","",""
"472","+27 01 050 1200","","ops@inx.net.za","","",""
"472","ops@inx.net.za","","ops@inx.net.za","","",""
"472","+27 01 050 1200","","no-reply@inx.net.za","","",""
"472","27 01 050 1200","","no-reply@inx.net.za","","",""
"472","+27 01 050 1200","","help@inx.net.za","","",""
"472","27 01 050 1200","","help@inx.net.za","","",""
"472","+27 01 050 1200","","noc@inx.net.za","","",""
"472","27 01 050 1200","","noc@inx.net.za","","",""
"472","+27 11 568 1160","","noc@inx.net.za","","",""
"472","27 11 568 1160","","noc@inx.net.za","","",""
"114","+49 69 1730 902 11","","support@de-cix.net","","",""
"114","+49 69 1730 902 0","","billing@de-cix.net","","",""
"395","+971 44524666","","support@uae-ix.net","","",""
"16739","+1 484 393 2326","","noc@e-ix.network","","",""
"16739","noc@e-ix.network","","noc@e-ix.network","","",""
"18970","+61899999999","","noc@edgeix.net","","",""
"18970","noc@edgeix.net","","noc@edgeix.net","","",""
"84940","+61899999999","","noc@edgeix.net","","",""
"84940","noc@edgeix.net","","noc@edgeix.net","","",""
"23737","+61899999999","","noc@edgeix.net","","",""
"23737","noc@edgeix.net","","noc@edgeix.net","","",""
"19004","+61899999999","","noc@edgeix.net","","",""
"19004","noc@edgeix.net","","noc@edgeix.net","","",""
"19005","+61899999999","","noc@edgeix.net","","",""
"19005","noc@edgeix.net","","noc@edgeix.net","","",""
"23739","+61899999999","","noc@edgeix.net","","",""
"23739","noc@edgeix.net","","noc@edgeix.net","","",""
"19006","+61899999999","","noc@edgeix.net","","",""
"19006","noc@edgeix.net","","noc@edgeix.net","","",""
"82238","","","peering@edgeix.net","","",""
"82238","+61899999999","","noc@edgeix.net","","",""
"82238","noc@edgeix.net","","noc@edgeix.net","","",""
"23738","+61899999999","","noc@edgeix.net","","",""
"23738","noc@edgeix.net","","noc@edgeix.net","","",""
"81129","","","noc-int@te.eg","","",""
"81129","+201555201209","","ahmad.abdallah@te.eg","","",""
"15623","+1 111 555 5555","","support@x3me.net","","",""
"15623","+91 1141236699","","support@x3me.net","","",""
"674","+1 111 555 5555","","support@x3me.net","","",""
"674","+91 1141236699","","support@x3me.net","","",""
"15624","+1 111 555 5555","","support@x3me.net","","",""
"15624","+91 1141236699","","support@x3me.net","","",""
"15622","+1 111 555 5555","","support@x3me.net","","",""
"15622","+91 1141236699","","support@x3me.net","","",""
"683","+1 111 555 5555","","support@x3me.net","","",""
"683","+91 1141236699","","support@x3me.net","","",""
"125","+7(495)737-4232","","","","",""
"125","+7(495)737-4232","","support@ix.ru","","",""
"531","","","noc@epix.net.pl","","",""
"442","","","noc@epix.net.pl","","",""
"69613","","Alessandro Martins","amartins@equinix.com","","",""
"69614","","Alessandro Martins","amartins@equinix.com","","",""
"78773","","","noc@era-ix.com","","",""
"78773","","","sales@era-ix.com","","",""
"17770","","","support@eurasiapeering.ru","","",""
"17770","","","sales@eurasiapeering.ru","","",""
"11439","","Bryce Wilson","bryce@thenetworknerds.ca","4072 Quadra St, Victoria, BC","Fremont","US"
"11439","","","helpdesk@evix.org","","",""
"80163","+911141236699","","support@x3me.net","","",""
"80163","+911141236699","","ix@x3me.net","","",""
"89484","+1 808 909 8292","","noc@f4ix.com","","",""
"89484","noc@f4ix.com","","noc@f4ix.com","","",""
"78247","+13176442224","","peering@fd-ix.com","","",""
"78247","","","sales@fd-ix.com","","",""
"79603","","","noc@hoster.ua","","",""
"88873","+555 1 555 1234","","noc@fix-berlin.net","","",""
"88873","noc@fix-berlin.net","","noc@fix-berlin.net","","",""
"73953","","","peering@fmix.net","","",""
"73953","","","info@fmix.net","","",""
"78250","","","op@fogixp.org","","",""
"82022","","","noc@fox.net.tw","","",""
"16","+49 69 1730 902 11","","support@de-cix.net","","",""
"16","+49 69 1730 902 0","","billing@de-cix.net","","",""
"69","","","l2-support@franceix.net","","",""
"69","","","noc@rezopole.net","","",""
"82007","","","noc@franceix.net","","",""
"440","+33 1 70 61 97 74","","l2-support@franceix.net","","",""
"440","+33 1 70 61 97 72","","billing@franceix.net","","",""
"440","","","noc@franceix.net","","",""
"96","+33 1 70 61 97 74","","l2-support@franceix.net","","",""
"96","+33 1 70 61 97 72","","billing@franceix.net","","",""
"96","","","noc@franceix.net","","",""
"92821","+302141001000","","noc@free-ix.gr","","",""
"76183","","","noc@fremix.exchange","","",""
"76183","","","peering@fremix.exchange","","",""
"72720","","Policy","noc@frys-ix.net","","",""
"72720","","Tech","noc@frys-ix.net","","",""
"72720","+31516237000","","noc@frys-ix.net","","",""
"16319","+24104824097","","info@gabix.ga","","",""
"16319","info@gabix.ga","","info@gabix.ga","","",""
"83689","+6285155063215","","noc@garuda-ix.com","","",""
"81123","+380442013136","","noc@giganet.ua","","",""
"81124","+380442013136","","noc@giganet.ua","","",""
"78340","","","helpdesk@glv-ix.lv","","",""
"78340","","","info@glv-ix.lv","","",""
"11338","+30 210-7474274","","noc@gr-ix.gr","","",""
"11339","+30 210-7474274","","noc@gr-ix.gr","","",""
"81698","","","noc@bakker-it.eu","","",""
"69795","","Ivan Morales","imorales@ixp.gt","","",""
"69795","+502-42116750","","noc@ixp.gt","","",""
"69795","noc@ixp.gt","","noc@ixp.gt","","",""
"51","+49 69 1730 902 11","","support@de-cix.net","","",""
"51","+49 69 1730 902 0","","billing@de-cix.net","","",""
"717","+263 4 333 032","","noc@hix.org.zw","","",""
"717","noc@hix.org.zw","","noc@hix.org.zw","","",""
"69612","","Brandon Mulligan","brandon@stlix.net","","",""
"71884","+1 602 688-6414","","ixp@ops.ninja-ix.net","","",""
"71884","peering@ninja-ix.net","","ixp@ops.ninja-ix.net","","",""
"71884","+1 602 688 6414","","peering@ninja-ix.net","","",""
"71884","peering@ninja-ix.net","","peering@ninja-ix.net","","",""
"71884","+1 602 688 6414","","ixp@ninja-ix.net","","",""
"71884","peering@ninja-ix.net","","ixp@ninja-ix.net","","",""
"77698","","","gnoc@icxglobal.net","","",""
"77698","","","sales@icxglobal.net","","",""
"77699","","","gnoc@icxglobal.net","","",""
"77699","","","sales@icxglobal.net","","",""
"77701","","","gnoc@icxglobal.net","","",""
"77701","","","peering@icxglobal.net","","",""
"77701","","","sales@icxglobal.net","","",""
"77700","","","gnoc@icxglobal.net","","",""
"77700","","","peering@icxglobal.net","","",""
"77700","","","sales@icxglobal.net","","",""
"78399","","","gnoc@icxglobal.net","","",""
"78399","","","peering@icxglobal.net","","",""
"78399","","","sales@icxglobal.net","","",""
"77702","","","gnoc@icxglobal.net","","",""
"77702","","","peering@icxglobal.net","","",""
"77702","","","sales@icxglobal.net","","",""
"77703","+442045773383","","gnoc@icxglobal.net","","",""
"77703","+442045773383","","peering@icxglobal.net","","",""
"78398","","","gnoc@icxglobal.net","","",""
"78398","","","peering@icxglobal.net","","",""
"78398","","","sales@icxglobal.net","","",""
"77697","+442045773383","","gnoc@icxglobal.net","","",""
"77697","+442045773383","","peering@icxglobal.net","","",""
"82073","","","admin@ji.iix.net.id","","",""
"82068","+623618947693","","nocadmin@bali.apjii.or.id","","",""
"82068","+623618947693","","peering@bali.apjii.or.id","","",""
"82074","","","noc@banten.apjii.or.id","","",""
"82069","","","admin@jabar.apjii.or.id","","",""
"82072","+6282221222082","","wiwid@jateng.apjii.or.id","","",""
"82071","","","noc@lampung.apjii.or.id","","",""
"82070","","","bph@sumut.apjii.or.id","","",""
"614","+353 1 531 3339","","operations@inex.ie","","",""
"614","+353 1 4332052","","accounts@inex.ie","","",""
"28","+353 1 531 3339","","operations@inex.ie","","",""
"28","+353 1 4332052","","accounts@inex.ie","","",""
"613","+353 1 531 3339","","operations@inex.ie","","",""
"613","+353 1 4332052","","accounts@inex.ie","","",""
"74032","+41 22 510 54 00","","noc@free-ix.net","","",""
"74032","noc@free-ix.net","","noc@free-ix.net","","",""
"86373","+1 111 555 5555","","ixpmanager@ixpmanager.rpd.ne.jp","","",""
"86373","+1 000000000000","","noc@rpd.ne.jp","","",""
"86373","+1 000000000000","","ixpmanager@ixpmanager.rpd.ne.jp","","",""
"86373","+1 000000000000","","noc@inixp.io","","",""
"86373","email only","","noc-as@ops.inixp.io","","",""
"69020","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69020","+61 2 8880 0240","","noc@interaus.com.au","","",""
"69021","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69021","+61 2 8880 0240","","noc@interaus.com.au","","",""
"69022","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69022","+61 2 8880 0240","","noc@interaus.com.au","","",""
"69023","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69023","+61 2 8880 0240","","noc@interaus.com.au","","",""
"69019","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69019","+61 2 8880 0240","","noc@interaus.com.au","","",""
"69024","+61 2 8880 0240","","ix@interaus.com.au","","",""
"69024","+61 2 8880 0240","","noc@interaus.com.au","","",""
"68918","+61 2 8880 0240","","noc@vnpdigital.com","","",""
"68918","noc@vnpdigital.com","","noc@vnpdigital.com","","",""
"68918","+61 2 8880 0240","","ix@interaus.com.au","","",""
"68918","+61 2 8880 0240","","noc@interaus.com.au","","",""
"16802","+507 6566-5934","","soporte@intered.org.pa","","",""
"16802","soporte@intered.org.pa","","soporte@intered.org.pa","","",""
"81993","+31851308330","","noc@inter-ix.net","","",""
"81993","+31 85 130 8330","","noc@inter-ix.net","","",""
"81993","noc@inter-ix.net","","noc@inter-ix.net","","",""
"44","+40728777794","","tech@interlan.ro","","",""
"44","tech@interlan.ro","","tech@interlan.ro","","",""
"44","+40 21 539 75 30","","tech@interlan.ro","","",""
"44","+40 31 710 24 28","","tech@interlan.ro","","",""
"113","+49 69 1730 902 11","","support@de-cix.net","","",""
"91863","981883588","","noc.peru@andespark-ixp.net","","",""
"94326","+61 7 3062 7601","","support@megaport.com","","",""
"548","+61 7 3062 7601","","support@megaport.com","","",""
"579","+61 7 3062 7601","","support@megaport.com","","",""
"86685","+61 7 3062 7601","","support@megaport.com","","",""
"66","+61 7 3062 7601","","support@megaport.com","","",""
"577","+61 7 3062 7601","","support@megaport.com","","",""
"91864","+595 0981005001","","noreply@ixcde.com.py","","",""
"94327","+61 7 3062 7601","","support@megaport.com","","",""
"86683","+61 7 3062 7601","","support@megaport.com","","",""
"581","+61 7 3062 7601","","support@megaport.com","","",""
"618","+555 1 555 1234","","peering@ix-denver.org","","",""
"618","peering@ix-denver.org","","peering@ix-denver.org","","",""
"97","+61 7 3062 7601","","support@megaport.com","","",""
"99","+61 7 3062 7601","","support@megaport.com","","",""
"98","+61 7 3062 7601","","support@megaport.com","","",""
"615","+61 7 3062 7601","","support@megaport.com","","",""
"582","+61 7 3062 7601","","support@megaport.com","","",""
"542","+61 7 3062 7601","","support@megaport.com","","",""
"86686","+61 7 3062 7601","","support@megaport.com","","",""
"115","+61 7 3062 7601","","support@megaport.com","","",""
"86684","+61 7 3062 7601","","support@megaport.com","","",""
"578","+61 7 3062 7601","","support@megaport.com","","",""
"584","+61 7 3062 7601","","support@megaport.com","","",""
"550","+61 7 3062 7601","","support@megaport.com","","",""
"94328","+61 7 3062 7601","","support@megaport.com","","",""
"718","+61 7 3062 7601","","support@megaport.com","","",""
"546","+61 7 3062 7601","","support@megaport.com","","",""
"551","+61 7 3062 7601","","support@megaport.com","","",""
"69189","+1 318 523 1435","","ix42@ix42.org","","",""
"70037","+1 (809) 796-4171","","monitoreo@ixp.org.do","","",""
"70037","+1 (829) 341-9794","","monitoreo@ixp.org.do","","",""
"17603","+5255 5211-3060","","noc.ixp@ixp.mx","","",""
"17603","noc.ixp@ixp.mx","","noc.ixp@ixp.mx","","",""
"96364","","Salvador Vaquero","salvador.vaquero@neutralnetworks.mx","","",""
"96364","+52 81 2165 8060","","noc@nixnetwork.mx","","",""
"96364","noc@nixetwork.mx","","noc@nixnetwork.mx","","",""
"81696","","","tech@ixp-pr.com","","",""
"81696","","","policy@ixp-pr.com","","",""
"12568","","Vladislav Bidikov","vladislav.bidikov@finki.ukim.mk","","",""
"80013","","","noc@ixplay.es","","",""
"73840","+2348093878110","","noc@ixp.net.ng","","",""
"73840","noc@ixp.net.ng","","noc@ixp.net.ng","","",""
"73840","+2348093878110","","ixpmanager@ixp.net.ng","","",""
"73840","noc@ixp.net.ng","","ixpmanager@ixp.net.ng","","",""
"73839","+2348093878110","","noc@ixp.net.ng","","",""
"73839","noc@ixp.net.ng","","noc@ixp.net.ng","","",""
"73839","+2348093878110","","ixpmanager@ixp.net.ng","","",""
"73839","noc@ixp.net.ng","","ixpmanager@ixp.net.ng","","",""
"73841","+2348093878110","","noc@ixp.net.ng","","",""
"73841","noc@ixp.net.ng","","noc@ixp.net.ng","","",""
"73841","+2348093878110","","ixpmanager@ixp.net.ng","","",""
"73841","noc@ixp.net.ng","","ixpmanager@ixp.net.ng","","",""
"62","+2348093878110","","noc@ixp.net.ng","","",""
"62","noc@ixp.net.ng","","noc@ixp.net.ng","","",""
"62","+234 809 3878 110","","noc@ixp.net.ng","","",""
"62","+2348093878110","","ixpmanager@ixp.net.ng","","",""
"62","noc@ixp.net.ng","","ixpmanager@ixp.net.ng","","",""
"17504","+595983463725","","noreply@ix.py","","",""
"17504","noc@ix.py","","noreply@ix.py","","",""
"81137","+5595991272539","","peering@ixrr.com.br","","",""
"74652","+503 7319-6983, +503 2223-5016","","noreply@ixsal.sv","","",""
"74652","soporte@ixsal.sv","","noreply@ixsal.sv","","",""
"70034","+529992927413","","noc@ixsy.org.mx","","",""
"13618","+60383200000","","noc@jbix.my","","",""
"13618","noc@jbix.my","","noc@jbix.my","","",""
"13618","+603 9212 5961","","support@de-cix.my","","",""
"72718","+62 8994605501","","support@jinom.net","","",""
"73","+27 01 050 1200","","ops@inx.net.za","","",""
"73","ops@inx.net.za","","ops@inx.net.za","","",""
"73","+27 01 050 1200","","no-reply@inx.net.za","","",""
"73","27 01 050 1200","","no-reply@inx.net.za","","",""
"73","+27 01 050 1200","","help@inx.net.za","","",""
"73","27 01 050 1200","","help@inx.net.za","","",""
"73","+27 01 050 1200","","noc@inx.net.za","","",""
"73","27 01 050 1200","","noc@inx.net.za","","",""
"73","+27 11 568 1160","","noc@inx.net.za","","",""
"73","27 11 568 1160","","noc@inx.net.za","","",""
"77410","","","support@jpix.ad.jp","","",""
"77410","","","sales@jpix.ad.jp","","",""
"161","+256790884905","Kyle Spencer","kyle@stormzero.com","","",""
"161","+256780246746","Diarmuid O'Briain","diarmuid@obriain.com","","",""
"161","+256790884905","","uixp-admins@googlegroups.com","","",""
"161","+256790884905","","support@googlegroups.com","","",""
"161","+256790884905","","support@uixp.co.ug","","",""
"161","+256783800146","","support@uixp.co.ug","","",""
"161","+256786350675","","support@uixp.co.ug","","",""
"14833","+7 7222604444","","noc@nic.kz","","",""
"14833","+7 7222600006","","ixp-request@nic.kz","","",""
"106","+254 732 614 497","","support@tespok.co.ke","","",""
"16263","+254 732 614 497","","support@tespok.co.ke","","",""
"151","+49 6172 185025","","info@kleyrex.net","","",""
"151","info@kleyrex.net","","info@kleyrex.net","","",""
"81140","","","noc@kskb.eu.org","","",""
"72297","+603 9212 5961","","support@de-cix.my","","",""
"323","+7(495)737-4232","","","","",""
"323","+7(495)737-4232","","support@ix.ru","","",""
"75054","","NOC","noc@august.tw","","",""
"75054","","","noc@lambda-ix.net","","",""
"71888","+1 602 688-6414","","ixp@portal.ninja-ix.net","","",""
"71888","peering@ninja-ix.net","","ixp@portal.ninja-ix.net","","",""
"71888","+1 602 688-6414","","ixp@ops.ninja-ix.net","","",""
"71888","peering@ninja-ix.net","","ixp@ops.ninja-ix.net","","",""
"71888","+1 602 688 6414","","peering@ninja-ix.net","","",""
"71888","peering@ninja-ix.net","","peering@ninja-ix.net","","",""
"71888","+1 602 688 6414","","ixp@ninja-ix.net","","",""
"71888","peering@ninja-ix.net","","ixp@ninja-ix.net","","",""
"7","","","support@linx.net","","",""
"572","","","support@linx.net","","",""
"377","","","support@linx.net","","",""
"437","","","support@linx.net","","",""
"423","","","support@linx.net","","",""
"525","","","support@linx.net","","",""
"91102","+265 999 708 883","","peering@lionex.org","","",""
"13792","+49 69 1730 902 11","","support@de-cix.net","","",""
"13384","+40 373 80 01 01","","lnkix@lnksystems.com","","",""
"15838","+4954191532660","","noc@locix.online","","",""
"15838","noc@locix.online","","noc@locix.online","","",""
"15838","+4954191532660","","no-reply@locix.online","","",""
"15838","noc@locix.online","","no-reply@locix.online","","",""
"15806","","","noc@nlocix.net","","",""
"15806","noc@nlocix.net","","noc@nlocix.net","","",""
"15806","","","no-reply@locix.online","","",""
"15806","noc@locix.online","","no-reply@locix.online","","",""
"26","44 20 3137 8330","","support@lonap.net","","",""
"26","44 20 3137 8330","","accounts@lonap.net","","",""
"26","+44 20 3137 8330","","support@lonap.net","","",""
"26","+44 20 3137 8330","","accounts@lonap.net","","",""
"670","+31 884 450 200","","noc@lsix.net","","",""
"670","noc@lsix.net","","noc@lsix.net","","",""
"143","","","support@lu-cix.lu","","",""
"83826","","","tech@lusakaixp.co.zm","","",""
"458","+49 69 1730 902 11","","support@de-cix.net","","",""
"82004","","","noc@mario.gdn","","",""
"72298","+603 9212 5961","","support@de-cix.my","","",""
"721","+1 956 340 4245","","mca.mexix.manager@mdcdatacenters.com","","",""
"721","customersupport@mdcdatacenters.com","","mca.mexix.manager@mdcdatacenters.com","","",""
"83299","","","noc@mdcdatacenters.com","","",""
"83300","","","wjy@wjy.me","","",""
"227","+39-03...","","noc@minap.it","","",""
"227","+39-02...","","noc@minap.it","","",""
"227","","Marco D'Itri","md@Linux.IT","","",""
